year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode,Winning
2004,TEXAS,TX,SOMERVELL,48425,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2701,3551,20191203,TOTAL,REPUBLICAN
2008,TEXAS,TX,SOMERVELL,48425,PRESIDENT,JOHN MCCAIN,REPUBLICAN,2677,3533,20191203,TOTAL,REPUBLICAN
2012,TEXAS,TX,SOMERVELL,48425,PRESIDENT,MITT ROMNEY,REPUBLICAN,2871,3538,20191203,TOTAL,REPUBLICAN
2016,TEXAS,TX,SOMERVELL,48425,PRESIDENT,DONALD TRUMP,REPUBLICAN,3206,3897,20191203,TOTAL,REPUBLICAN
2020,TEXAS,TX,SOMERVELL,48425,PRESIDENT,DONALD J TRUMP,REPUBLICAN,4105,4947,20210622,TOTAL,REPUBLICAN
2000,CALIFORNIA,CA,SONOMA,6097,PRESIDENT,AL GORE,DEMOCRAT,117295,197006,20191203,TOTAL,DEMOCRAT
2004,CALIFORNIA,CA,SONOMA,6097,PRESIDENT,JOHN KERRY,DEMOCRAT,148261,220077,20191203,TOTAL,DEMOCRAT
2008,CALIFORNIA,CA,SONOMA,6097,PRESIDENT,BARACK OBAMA,DEMOCRAT,168888,229351,20191203,TOTAL,DEMOCRAT
2012,CALIFORNIA,CA,SONOMA,6097,PRESIDENT,BARACK OBAMA,DEMOCRAT,153942,216508,20191203,TOTAL,DEMOCRAT
2016,CALIFORNIA,CA,SONOMA,6097,PRESIDENT,HILLARY CLINTON,DEMOCRAT,160435,231253,20191203,TOTAL,DEMOCRAT
2020,CALIFORNIA,CA,SONOMA,6097,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,199938,268317,20210622,TOTAL,DEMOCRAT
2000,VIRGINIA,VA,SOUTHAMPTON,51175,PRESIDENT,AL GORE,DEMOCRAT,3359,6714,20191203,TOTAL,DEMOCRAT
2004,VIRGINIA,VA,SOUTHAMPTON,51175,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4018,7492,20191203,TOTAL,REPUBLICAN
